zone;production_type;power_capacity;power_capacity_turbine;power_capacity_pumping;power_capacity_injection;power_capacity_offtake;energy_capacity
iberian-peninsula;Batteries;0.0;0.0;0.0;100.0;100.0;200.0
iberian-peninsula;Biofuel;0.0;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Demand Side Response capacity;500.0;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Gas ;28327.56;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Hard Coal;561.8;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Hydro - Pondage;0.0;266.0;0.0;0.0;0.0;3700.0
iberian-peninsula;Hydro - Pump Storage Closed Loop;0.0;3331.4;-3141.03;0.0;0.0;95435.0
iberian-peninsula;Hydro - Pump Storage Open Loop;0.0;6522.72;-6010.41;0.0;0.0;7765760.0
iberian-peninsula;Hydro - Reservoir;0.0;15179.69;0.0;0.0;0.0;16064672.5
iberian-peninsula;Hydro - Run of River;0.0;3679.44;0.0;0.0;0.0;0.0
iberian-peninsula;Lignite;0.0;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Nuclear;7117.36;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Oil;0.0;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Others non-renewable;5018.49;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Others renewable;2033.4;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Solar PV;40177.08;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Solar Thermal;2364.5;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Wind Offshore;88.0;0.0;0.0;0.0;0.0;0.0
iberian-peninsula;Wind Onshore;41216.73;0.0;0.0;0.0;0.0;0.0
