zone;production_type;power_capacity;power_capacity_turbine;power_capacity_pumping;power_capacity_injection;power_capacity_offtake;energy_capacity
scandinavia;Batteries;0.0;0.0;0.0;1841.13;1841.13;5743.38
scandinavia;Biofuel;2648.25;0.0;0.0;0.0;0.0;0.0
scandinavia;Demand Side Response capacity;17592.71;0.0;0.0;0.0;0.0;0.0
scandinavia;Gas ;1891.75;0.0;0.0;0.0;0.0;0.0
scandinavia;Hard Coal;183.6;0.0;0.0;0.0;0.0;0.0
scandinavia;Hydro - Pondage;0.0;0.0;0.0;0.0;0.0;0.0
scandinavia;Hydro - Pump Storage Closed Loop;0.0;0.0;0.0;0.0;0.0;0.0
scandinavia;Hydro - Pump Storage Open Loop;0.0;709.32;-759.79;0.0;0.0;15452782.42
scandinavia;Hydro - Reservoir;0.0;46678.27;0.0;0.0;0.0;109380886.06
scandinavia;Hydro - Run of River;0.0;7586.41;0.0;0.0;0.0;0.0
scandinavia;Lignite;0.0;0.0;0.0;0.0;0.0;0.0
scandinavia;Nuclear;11277.0;0.0;0.0;0.0;0.0;0.0
scandinavia;Oil;747.9;0.0;0.0;0.0;0.0;0.0
scandinavia;Others non-renewable;570.5;0.0;0.0;0.0;0.0;0.0
scandinavia;Others renewable;6857.23;0.0;0.0;0.0;0.0;0.0
scandinavia;Solar PV;49644.53;0.0;0.0;0.0;0.0;0.0
scandinavia;Solar Thermal;0.0;0.0;0.0;0.0;0.0;0.0
scandinavia;Wind Offshore;26643.29;0.0;0.0;0.0;0.0;0.0
scandinavia;Wind Onshore;71700.96;0.0;0.0;0.0;0.0;0.0
